Date,SP_Price,Open,High,Low,Vol.,Change %
23-Apr-19,"2,933.68","2,909.99","2,936.31","2,908.53",-,0.88%
22-Apr-19,"2,907.97","2,898.78","2,909.51","2,896.35",-,0.10%
18-Apr-19,"2,905.03","2,904.81","2,908.40","2,891.90",-,0.16%
17-Apr-19,"2,900.45","2,916.04","2,918.00","2,895.45",-,-0.23%
16-Apr-19,"2,907.06","2,912.26","2,916.06","2,900.71",-,0.05%
15-Apr-19,"2,905.58","2,908.32","2,909.60","2,896.48",-,-0.06%
12-Apr-19,"2,907.41","2,900.86","2,910.54","2,898.37",-,0.66%
11-Apr-19,"2,888.32","2,891.92","2,893.42","2,881.99",-,0.00%
10-Apr-19,"2,888.21","2,881.37","2,889.71","2,879.13",-,0.35%
9-Apr-19,"2,878.20","2,886.58","2,886.88","2,873.33",-,-0.61%
8-Apr-19,"2,895.77","2,888.46","2,895.95","2,880.78",-,0.10%
5-Apr-19,"2,892.74","2,884.16","2,893.24","2,882.99",-,0.46%
4-Apr-19,"2,879.39","2,873.99","2,881.28","2,867.14",-,0.21%
3-Apr-19,"2,873.40","2,876.09","2,885.25","2,865.17",-,0.21%
2-Apr-19,"2,867.24","2,868.24","2,872.90","2,858.75",-,0.00%
1-Apr-19,"2,867.19","2,848.63","2,869.40","2,848.63",-,1.16%
29-Mar-19,"2,834.40","2,828.27","2,836.03","2,819.23",-,0.67%
28-Mar-19,"2,815.44","2,809.40","2,819.71","2,798.77",-,0.36%
27-Mar-19,"2,805.37","2,819.72","2,825.56","2,787.72",-,-0.46%
26-Mar-19,"2,818.46","2,812.66","2,829.87","2,803.99",-,0.72%
25-Mar-19,"2,798.36","2,796.01","2,809.79","2,785.02",-,-0.08%
22-Mar-19,"2,800.71","2,844.52","2,846.16","2,800.47",-,-1.90%
21-Mar-19,"2,854.88","2,819.72","2,860.31","2,817.38",-,1.09%
20-Mar-19,"2,824.23","2,831.34","2,843.54","2,812.43",-,-0.29%
19-Mar-19,"2,832.57","2,840.76","2,852.42","2,823.27",-,-0.01%
18-Mar-19,"2,832.94","2,822.61","2,835.41","2,821.99",-,0.37%
15-Mar-19,"2,822.48","2,810.79","2,830.73","2,810.79",-,0.50%
14-Mar-19,"2,808.48","2,810.38","2,815.00","2,803.46",-,-0.09%
13-Mar-19,"2,810.92","2,799.78","2,821.24","2,799.78",-,0.69%
12-Mar-19,"2,791.52","2,787.34","2,798.32","2,786.73",-,0.30%
11-Mar-19,"2,783.30","2,747.61","2,784.00","2,747.61",-,1.47%
8-Mar-19,"2,743.07","2,730.79","2,744.13","2,722.27",-,-0.21%
7-Mar-19,"2,748.93","2,766.53","2,767.25","2,739.09",-,-0.81%
6-Mar-19,"2,771.45","2,790.27","2,790.27","2,768.69",-,-0.65%
5-Mar-19,"2,789.65","2,794.41","2,796.44","2,782.97",-,-0.11%
